feature,rho_dev,orientation,mode,quantile,threshold_hi,threshold_lo,dev2023_24_n,dev2023_24_coverage_pct,dev2023_24_exact_pct,dev2023_24_sign_n,dev2023_24_sign_pct,dev2023_24_up_calls,dev2023_24_down_calls,val2025_n,val2025_coverage_pct,val2025_exact_pct,val2025_sign_n,val2025_sign_pct,val2025_up_calls,val2025_down_calls,confirm2026_n,confirm2026_coverage_pct,confirm2026_exact_pct,confirm2026_sign_n,confirm2026_sign_pct,confirm2026_up_calls,confirm2026_down_calls,min_val_confirm_exact_pct,min_val_confirm_sign_pct,mean_val_confirm_coverage_pct
px_atr5_sum7,0.062238,1,two_tail,0.95,0.39273327599999996,0.18899087999999997,34,9.91,50.0,28,60.71,17,17,43,17.34,51.16,33,66.67,4,39,45,27.11,57.78,37,70.27,20,25,51.16,66.67,22.225
DII_v2inst_lvl_chg21,0.129052,1,two_tail,0.925,0.013178922850000004,-0.018376523100000004,50,14.58,52.0,41,63.41,25,25,51,20.56,58.82,46,65.22,37,14,53,31.93,58.49,47,65.96,31,22,58.49,65.22,26.244999999999997
DII_v2inst_lvl_chg21,0.129052,1,up_tail,0.925,0.013178922850000004,,25,7.29,60.0,20,75.0,25,0,37,14.92,59.46,34,64.71,37,0,31,18.67,61.29,28,67.86,31,0,59.46,64.71,16.795
DII_ifut_lvl_chg21,0.102775,1,up_tail,0.85,0.04515560699999999,,49,14.29,57.14,41,68.29,49,0,64,25.81,56.25,57,63.16,64,0,41,24.7,58.54,37,64.86,41,0,56.25,63.16,25.255
DII_index_rflow_sum7,0.080872,1,up_tail,0.9,0.006445410000000002,,35,10.2,51.43,30,60.0,35,0,60,24.19,48.33,46,63.04,60,0,30,18.07,53.33,25,64.0,30,0,48.33,63.04,21.130000000000003
DII_index_rflow_mean7,0.08144,1,up_tail,0.9,0.0009207728571428575,,35,10.2,51.43,30,60.0,35,0,60,24.19,48.33,46,63.04,60,0,30,18.07,53.33,25,64.0,30,0,48.33,63.04,21.130000000000003
DII_v2inst_rflow_sum7,0.080872,1,up_tail,0.9,0.006445406000000002,,35,10.2,51.43,30,60.0,35,0,60,24.19,48.33,46,63.04,60,0,30,18.07,53.33,25,64.0,30,0,48.33,63.04,21.130000000000003
DII_v2inst_rflow_mean7,0.08144,1,up_tail,0.9,0.0009207722857142859,,35,10.2,51.43,30,60.0,35,0,60,24.19,48.33,46,63.04,60,0,30,18.07,53.33,25,64.0,30,0,48.33,63.04,21.130000000000003
v3_smart_money_conflict,0.082707,1,up_tail,0.8,1.0,,77,22.45,55.84,64,67.19,77,0,41,16.53,51.22,33,63.64,41,0,29,17.47,58.62,27,62.96,29,0,51.22,62.96,17.0
v3_smart_money_conflict,0.082707,1,up_tail,0.85,1.0,,77,22.45,55.84,64,67.19,77,0,41,16.53,51.22,33,63.64,41,0,29,17.47,58.62,27,62.96,29,0,51.22,62.96,17.0
v3_smart_money_conflict,0.082707,1,up_tail,0.9,1.0,,77,22.45,55.84,64,67.19,77,0,41,16.53,51.22,33,63.64,41,0,29,17.47,58.62,27,62.96,29,0,51.22,62.96,17.0
v3_smart_money_conflict,0.082707,1,up_tail,0.925,1.0,,77,22.45,55.84,64,67.19,77,0,41,16.53,51.22,33,63.64,41,0,29,17.47,58.62,27,62.96,29,0,51.22,62.96,17.0
v3_smart_money_conflict,0.082707,1,up_tail,0.95,1.0,,77,22.45,55.84,64,67.19,77,0,41,16.53,51.22,33,63.64,41,0,29,17.47,58.62,27,62.96,29,0,51.22,62.96,17.0
DII_optheavy_lvl_chg21,0.109279,1,up_tail,0.85,0.007030294124999989,,49,14.29,65.31,40,80.0,49,0,38,15.32,57.89,35,62.86,38,0,31,18.67,58.06,28,64.29,31,0,57.89,62.86,16.995
DII_v3inst_lvl_chg21,0.119278,1,two_tail,0.95,0.027089337400000003,-0.039228727099999985,34,9.91,52.94,29,62.07,17,17,48,19.35,56.25,43,62.79,35,13,50,30.12,60.0,46,65.22,31,19,56.25,62.79,24.735
DII_optheavy_lvl_chg21,0.109279,1,two_tail,0.9,0.008064218700000004,-0.010631249650000004,66,19.24,50.0,52,63.46,33,33,48,19.35,56.25,43,62.79,35,13,44,26.51,56.82,39,64.1,23,21,56.25,62.79,22.93
DII_v3inst_rflow_sum7,0.088979,1,up_tail,0.925,0.012778206000000004,,26,7.58,53.85,22,63.64,26,0,55,22.18,49.09,43,62.79,55,0,22,13.25,63.64,20,70.0,22,0,49.09,62.79,17.715
DII_v3inst_rflow_mean7,0.08959,1,up_tail,0.925,0.0018254580000000007,,26,7.58,53.85,22,63.64,26,0,55,22.18,49.09,43,62.79,55,0,22,13.25,63.64,20,70.0,22,0,49.09,62.79,17.715
DII_v3inst_lvl_chg21,0.119278,1,up_tail,0.8,0.0154262692,,65,18.95,53.85,52,67.31,65,0,67,27.02,55.22,59,62.71,67,0,46,27.71,56.52,41,63.41,46,0,55.22,62.71,27.365000000000002
DII_optheavy_lvl_chg21,0.109279,1,up_tail,0.9,0.008064218700000004,,33,9.62,57.58,25,76.0,33,0,35,14.11,57.14,32,62.5,35,0,23,13.86,60.87,21,66.67,23,0,57.14,62.5,13.985
DII_optheavy_lvl_chg21,0.109279,1,two_tail,0.925,0.008663670925,-0.012956772300000006,50,14.58,54.0,40,67.5,25,25,44,17.74,56.82,40,62.5,32,12,34,20.48,58.82,32,62.5,21,13,56.82,62.5,19.11
Client_scall_rflow_z63,-0.06241,-1,up_tail,0.8,0.12873942319488543,,65,18.95,52.31,48,70.83,65,0,37,14.92,54.05,32,62.5,37,0,27,16.27,51.85,21,66.67,27,0,51.85,62.5,15.594999999999999
oc_dte_actual_chg15,-0.064388,-1,up_tail,0.9,3.0,,48,13.99,45.83,35,62.86,48,0,28,11.29,50.0,22,63.64,28,0,26,15.66,57.69,24,62.5,26,0,50.0,62.5,13.475
oc_dte_actual_chg15,-0.064388,-1,up_tail,0.925,3.0,,48,13.99,45.83,35,62.86,48,0,28,11.29,50.0,22,63.64,28,0,26,15.66,57.69,24,62.5,26,0,50.0,62.5,13.475
oc_dte_actual_chg15,-0.064388,-1,up_tail,0.95,3.0,,48,13.99,45.83,35,62.86,48,0,28,11.29,50.0,22,63.64,28,0,26,15.66,57.69,24,62.5,26,0,50.0,62.5,13.475
DII_ifut_lvl_chg21,0.102775,1,up_tail,0.9,0.056344003,,33,9.62,57.58,27,70.37,33,0,51,20.56,54.9,45,62.22,51,0,36,21.69,63.89,33,69.7,36,0,54.9,62.22,21.125
DII_index_qflow_sum21,0.04586,1,up_tail,0.925,0.009537116500000005,,25,7.29,52.0,20,65.0,25,0,42,16.94,52.38,35,62.86,42,0,40,24.1,57.5,37,62.16,40,0,52.38,62.16,20.520000000000003
DII_index_qflow_mean21,0.046345,1,up_tail,0.925,0.000454148404761905,,25,7.29,52.0,20,65.0,25,0,42,16.94,52.38,35,62.86,42,0,40,24.1,57.5,37,62.16,40,0,52.38,62.16,20.520000000000003
DII_v2inst_qflow_sum21,0.04586,1,up_tail,0.925,0.009537098850000005,,25,7.29,52.0,20,65.0,25,0,42,16.94,52.38,35,62.86,42,0,40,24.1,57.5,37,62.16,40,0,52.38,62.16,20.520000000000003
DII_v2inst_qflow_mean21,0.046345,1,up_tail,0.925,0.0004541475642857146,,25,7.29,52.0,20,65.0,25,0,42,16.94,52.38,35,62.86,42,0,40,24.1,57.5,37,62.16,40,0,52.38,62.16,20.520000000000003
oc_call_wall_dist_pct_chg7,-0.067713,-1,two_tail,0.95,3.8945517499999998,-4.05338675,34,9.91,52.94,30,60.0,17,17,55,22.18,50.91,45,62.22,30,25,31,18.67,58.06,29,62.07,15,16,50.91,62.07,20.425
FII_v3inst_qflow_chg4,0.127464,1,two_tail,0.925,0.02735732060000003,-0.022333507700000005,52,15.16,48.08,39,64.1,26,26,30,12.1,60.0,26,69.23,11,19,36,21.69,50.0,29,62.07,15,21,50.0,62.07,16.895
DII_optheavy_lvl_z63,0.115981,1,up_tail,0.75,1.348610380715089,,81,23.62,56.79,66,69.7,81,0,55,22.18,56.36,50,62.0,55,0,22,13.25,59.09,21,61.9,22,0,56.36,61.9,17.715
DII_futheavy_rflow_sum7,0.092451,1,up_tail,0.925,0.019024654999999998,,26,7.58,53.85,22,63.64,26,0,52,20.97,50.0,42,61.9,52,0,22,13.25,63.64,20,70.0,22,0,50.0,61.9,17.11
DII_futheavy_rflow_mean7,0.093006,1,up_tail,0.925,0.0027178078571428567,,26,7.58,53.85,22,63.64,26,0,52,20.97,50.0,42,61.9,52,0,22,13.25,63.64,20,70.0,22,0,50.0,61.9,17.11
